X= 60, Y= 71, vga_plot=1
X= 60, Y= 71, vga_plot=1
X= 60, Y= 70, vga_plot=1
X= 60, Y= 69, vga_plot=1
X= 60, Y= 68, vga_plot=1
X= 60, Y= 67, vga_plot=1
X= 60, Y= 66, vga_plot=1
X= 60, Y= 65, vga_plot=1
X= 61, Y= 64, vga_plot=1
X= 61, Y= 63, vga_plot=1
X= 61, Y= 62, vga_plot=1
X= 61, Y= 61, vga_plot=1
X= 62, Y= 60, vga_plot=1
X= 62, Y= 59, vga_plot=1
X= 62, Y= 58, vga_plot=1
X= 63, Y= 57, vga_plot=1
X= 63, Y= 56, vga_plot=1
X= 63, Y= 55, vga_plot=1
X= 64, Y= 54, vga_plot=1
X= 64, Y= 53, vga_plot=1
X= 65, Y= 52, vga_plot=1
X= 65, Y= 51, vga_plot=1
X= 80, Y= 36, vga_plot=1
X= 66, Y= 50, vga_plot=1
X= 79, Y= 37, vga_plot=1
X= 67, Y= 49, vga_plot=1
X= 78, Y= 38, vga_plot=1
X= 67, Y= 48, vga_plot=1
X= 77, Y= 38, vga_plot=1
X= 68, Y= 47, vga_plot=1
X= 76, Y= 39, vga_plot=1
X= 69, Y= 46, vga_plot=1
X= 75, Y= 40, vga_plot=1
X= 70, Y= 45, vga_plot=1
X= 74, Y= 41, vga_plot=1
X= 70, Y= 44, vga_plot=1
X= 73, Y= 41, vga_plot=1
X= 71, Y= 43, vga_plot=1
X= 72, Y= 42, vga_plot=1
X=100, Y= 71, vga_plot=1
X=100, Y= 71, vga_plot=1
X=100, Y= 70, vga_plot=1
X=100, Y= 69, vga_plot=1
X=100, Y= 68, vga_plot=1
X=100, Y= 67, vga_plot=1
X=100, Y= 66, vga_plot=1
X=100, Y= 65, vga_plot=1
X= 99, Y= 64, vga_plot=1
X= 99, Y= 63, vga_plot=1
X= 99, Y= 62, vga_plot=1
X= 99, Y= 61, vga_plot=1
X= 98, Y= 60, vga_plot=1
X= 98, Y= 59, vga_plot=1
X= 98, Y= 58, vga_plot=1
X= 97, Y= 57, vga_plot=1
X= 97, Y= 56, vga_plot=1
X= 97, Y= 55, vga_plot=1
X= 96, Y= 54, vga_plot=1
X= 96, Y= 53, vga_plot=1
X= 95, Y= 52, vga_plot=1
X= 95, Y= 51, vga_plot=1
X= 80, Y= 36, vga_plot=1
X= 94, Y= 50, vga_plot=1
X= 81, Y= 37, vga_plot=1
X= 93, Y= 49, vga_plot=1
X= 82, Y= 38, vga_plot=1
X= 93, Y= 48, vga_plot=1
X= 83, Y= 38, vga_plot=1
X= 92, Y= 47, vga_plot=1
X= 84, Y= 39, vga_plot=1
X= 91, Y= 46, vga_plot=1
X= 85, Y= 40, vga_plot=1
X= 90, Y= 45, vga_plot=1
X= 86, Y= 41, vga_plot=1
X= 90, Y= 44, vga_plot=1
X= 87, Y= 41, vga_plot=1
X= 89, Y= 43, vga_plot=1
X= 88, Y= 42, vga_plot=1
X= 80, Y= 76, vga_plot=1
X= 80, Y= 76, vga_plot=1
X= 81, Y= 76, vga_plot=1
X= 79, Y= 76, vga_plot=1
X= 82, Y= 76, vga_plot=1
X= 78, Y= 76, vga_plot=1
X= 83, Y= 76, vga_plot=1
X= 77, Y= 76, vga_plot=1
X= 84, Y= 76, vga_plot=1
X= 76, Y= 76, vga_plot=1
X= 85, Y= 76, vga_plot=1
X= 75, Y= 76, vga_plot=1
X= 86, Y= 76, vga_plot=1
X= 74, Y= 76, vga_plot=1
X= 87, Y= 75, vga_plot=1
X= 73, Y= 75, vga_plot=1
X= 88, Y= 75, vga_plot=1
X= 72, Y= 75, vga_plot=1
X= 89, Y= 75, vga_plot=1
X= 71, Y= 75, vga_plot=1
X= 90, Y= 75, vga_plot=1
X= 70, Y= 75, vga_plot=1
X= 91, Y= 74, vga_plot=1
X= 69, Y= 74, vga_plot=1
X= 92, Y= 74, vga_plot=1
X= 68, Y= 74, vga_plot=1
X= 93, Y= 74, vga_plot=1
X= 67, Y= 74, vga_plot=1
X= 94, Y= 73, vga_plot=1
X= 66, Y= 73, vga_plot=1
X= 95, Y= 73, vga_plot=1
X= 65, Y= 73, vga_plot=1
X= 96, Y= 73, vga_plot=1
X= 64, Y= 73, vga_plot=1
X= 97, Y= 72, vga_plot=1
X= 63, Y= 72, vga_plot=1
X= 98, Y= 72, vga_plot=1
X= 62, Y= 72, vga_plot=1
X= 99, Y= 71, vga_plot=1
X= 61, Y= 71, vga_plot=1
X=100, Y= 71, vga_plot=1
X= 60, Y= 71, vga_plot=1
