X=140, Y= 71, crit=-39, vga_plot=1
X=100, Y=111, crit=-39, vga_plot=1
X= 60, Y= 71, crit=-39, vga_plot=1
X=100, Y=111, crit=-39, vga_plot=1
X= 60, Y= 71, crit=-39, vga_plot=1
X=100, Y= 31, crit=-39, vga_plot=1
X=140, Y= 71, crit=-39, vga_plot=1
X=100, Y= 31, crit=-39, vga_plot=1
X=140, Y= 72, crit=-36, vga_plot=1
X=101, Y=111, crit=-36, vga_plot=1
X= 60, Y= 72, crit=-36, vga_plot=1
X= 99, Y=111, crit=-36, vga_plot=1
X= 60, Y= 70, crit=-36, vga_plot=1
X= 99, Y= 31, crit=-36, vga_plot=1
X=140, Y= 70, crit=-36, vga_plot=1
X=101, Y= 31, crit=-36, vga_plot=1
X=140, Y= 73, crit=-31, vga_plot=1
X=102, Y=111, crit=-31, vga_plot=1
X= 60, Y= 73, crit=-31, vga_plot=1
X= 98, Y=111, crit=-31, vga_plot=1
X= 60, Y= 69, crit=-31, vga_plot=1
X= 98, Y= 31, crit=-31, vga_plot=1
X=140, Y= 69, crit=-31, vga_plot=1
X=102, Y= 31, crit=-31, vga_plot=1
X=140, Y= 74, crit=-24, vga_plot=1
X=103, Y=111, crit=-24, vga_plot=1
X= 60, Y= 74, crit=-24, vga_plot=1
X= 97, Y=111, crit=-24, vga_plot=1
X= 60, Y= 68, crit=-24, vga_plot=1
X= 97, Y= 31, crit=-24, vga_plot=1
X=140, Y= 68, crit=-24, vga_plot=1
X=103, Y= 31, crit=-24, vga_plot=1
X=140, Y= 75, crit=-15, vga_plot=1
X=104, Y=111, crit=-15, vga_plot=1
X= 60, Y= 75, crit=-15, vga_plot=1
X= 96, Y=111, crit=-15, vga_plot=1
X= 60, Y= 67, crit=-15, vga_plot=1
X= 96, Y= 31, crit=-15, vga_plot=1
X=140, Y= 67, crit=-15, vga_plot=1
X=104, Y= 31, crit=-15, vga_plot=1
X=140, Y= 76, crit= -4, vga_plot=1
X=105, Y=111, crit= -4, vga_plot=1
X= 60, Y= 76, crit= -4, vga_plot=1
X= 95, Y=111, crit= -4, vga_plot=1
X= 60, Y= 66, crit= -4, vga_plot=1
X= 95, Y= 31, crit= -4, vga_plot=1
X=140, Y= 66, crit= -4, vga_plot=1
X=105, Y= 31, crit= -4, vga_plot=1
X=140, Y= 77, crit=  9, vga_plot=1
X=106, Y=111, crit=  9, vga_plot=1
X= 60, Y= 77, crit=  9, vga_plot=1
X= 94, Y=111, crit=  9, vga_plot=1
X= 60, Y= 65, crit=  9, vga_plot=1
X= 94, Y= 31, crit=  9, vga_plot=1
X=140, Y= 65, crit=  9, vga_plot=1
X=106, Y= 31, crit=  9, vga_plot=1
X=139, Y= 78, crit=-54, vga_plot=1
X=107, Y=110, crit=-54, vga_plot=1
X= 61, Y= 78, crit=-54, vga_plot=1
X= 93, Y=110, crit=-54, vga_plot=1
X= 61, Y= 64, crit=-54, vga_plot=1
X= 93, Y= 32, crit=-54, vga_plot=1
X=139, Y= 64, crit=-54, vga_plot=1
X=107, Y= 32, crit=-54, vga_plot=1
X=139, Y= 79, crit=-37, vga_plot=1
X=108, Y=110, crit=-37, vga_plot=1
X= 61, Y= 79, crit=-37, vga_plot=1
X= 92, Y=110, crit=-37, vga_plot=1
X= 61, Y= 63, crit=-37, vga_plot=1
X= 92, Y= 32, crit=-37, vga_plot=1
X=139, Y= 63, crit=-37, vga_plot=1
X=108, Y= 32, crit=-37, vga_plot=1
X=139, Y= 80, crit=-18, vga_plot=1
X=109, Y=110, crit=-18, vga_plot=1
X= 61, Y= 80, crit=-18, vga_plot=1
X= 91, Y=110, crit=-18, vga_plot=1
X= 61, Y= 62, crit=-18, vga_plot=1
X= 91, Y= 32, crit=-18, vga_plot=1
X=139, Y= 62, crit=-18, vga_plot=1
